wallet_address,trade_volume_usd,trade_count,sol_balance,avg_trade_size_usd,unique_tokens_traded,distinct_transactions
RFSqPtn1JfavGiUD4HJsZyYXvZsycxf31hnYfbyG6iB,19886.83,21,,946.99,2,21
AXkAN8jcv9KZbwqJY2A6FfhjJizP3Sz4KckH1uMAQtEP,6192.42,12,,516.03,2,12
3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE,39487.85,58,,680.82,7,58
HdKJM6Lvfp9aV9tvEMC8AD4GnsbFgMUkHLoK923Sn1ET,44514.83,57,,780.96,10,57
pJcdqfbDu6i4kEgAd3tHfBtTyFreLxhM3ME1eEcaASk,46743.51,68,,687.4,6,68
FTiA4rwsxaq5xAhhdC42wLT1MykVavFy8DQD29UbPwAg,15821.49,26,,608.52,5,26
A8H8D8WegN7MgMdRAVYWU2uAcSTfZaC3c6pyLDF8CFXv,48610.8,58,,838.12,10,58
FgLEQNMHeSWqhLwznQkZ4fdmgAjTJSrfFXggN3GcLYuC,25781.91,39,,661.07,2,39
7wxKPJdSduywAgJ2QbZUCyy76N4mTQYRtCSriptcZCZ9,11016.74,18,,612.04,3,18
3AhWZkGpcBTsxJqc4vkh1YiLX8AtvxWfMXZNgLuhV16T,6618.57,11,,601.69,2,11
BvrpYPcHTtNXDyMfjYgZSfh6WydcToVrmvNAx2T3Pw3E,19743.49,26,,759.36,3,26
3kqk7FSxfj2ub1wBjwFD3B7XJg8EjLz1s5MAau3hgusW,42446.15,61,,695.84,7,61
AMovc2V1zKen5qFeMdMT8sQfr56hmqih5oHznGmkFRMC,19597.29,22,,890.79,5,22
CmJ6gGVP4q8FeFtqs5D15W4AyxUiveTqVdMavUNEgw1J,12290.21,11,,1117.29,2,11
D52iQof6jvthfFbPLQXNq3i9a6hrWpQ96Z8btwbU3Eza,8208.94,12,,684.08,2,12
9bCtS54h3Ncgfi2P2zEuq51knnAsxT83qe4WkSCtBWeV,17695.73,27,,655.4,2,27
5oYs27exQdpwFu193jGcHERuzt56QSQoLkd9A48bSuPR,22382.0,37,,604.92,7,37
8PdNfSNdxxDYaESnCWFkD9fnPtbscgTNazds6RxNfD4i,23057.19,40,,576.43,2,40
EDXHdSFdadFbYFFjxPXBqMe1kCEDFqpPu552uvp48HR8,10936.91,17,,643.35,3,17
JCuZHPDXAEZXwRMSkZ9ddWQswTrBbMh9ZZNeDi4tcoUN,26321.05,16,,1645.07,2,16
cV3Ffj3nVCpbXEwdgefbxtvmQ8sazb9TF3R2auZ1PdG,46873.16,35,,1339.23,3,35
337oAokqtrZXJmChNaNfPWjjNefufMs81Fhhz6TBp777,18546.5,17,,1090.97,2,17
4GKCQfke5Kwixmr2bz195XgLfT6gb6RhmBJ9383BP3xm,16080.07,27,,595.56,3,27
EATuKMS7nbWgM719hfJYBXspVpgUxjHhdqxPBkDFNPzz,14691.03,20,,734.55,2,20
39LU5MN3Hizcdwdhgk3sSEYA3Fx6Bqz38fXDFqPqaA5V,6058.36,11,,550.76,2,11
hnu5iBK8UoHb51UFsH1RYTUAYdrhjHvV5YMTf9T1CYN,39404.83,27,,1459.44,2,27
7tK5bcUSVY2in5c58JFGR7vEBFxGUMgUcAChh3XutzvX,38185.58,55,,694.28,2,55
AURAE3rU9bjmkqGcdSWuz61UL4fV7TFq2UoooDtnRudo,37882.29,50,,757.65,5,50
3z5FDHPFQTDo2GYpDZT7XCbSVY9q1ehr7T6Gzuu4UMyx,40138.42,41,,978.99,6,41
4XDsU9vMLfYqRSUtE9Rm8vxpbPLAEQCDHV6P5yrZT3dm,11980.4,15,,798.69,2,15
62tcm1Rr7BagcxgVfe1iYD9fcBnryEw4csvjWMou3hLP,23219.08,32,,725.6,3,32
GDbpkdjsGVUbd95EwUSA9X2zfrWczwpPVJJnUCds45fy,12010.67,17,,706.51,2,17
4pbP7yFr5LGH9TQNvZNJyVF36CKWcxi2gvGm1hxEKeQH,5735.96,9,,637.33,2,9
Ceof7bUR3Nd1NHf3gSrX2WXN25kav7STDZEvaMeZZY5s,11844.54,11,,1076.78,3,11
H7G6jdWDXhGfyQanrc9gCRZwHk6j1WegEP6UY9pfNjqw,31905.22,23,,1387.18,3,23
F2SuErm4MviWJ2HzKXk2nuzBC6xe883CFWUDCPz6cyWm,23135.71,32,,722.99,6,32
9Ri7isEsExjzkJbqCndqe2gHtXEfhsfLmRLxaQ1M98XL,15383.38,29,,530.46,5,29
EJnraMTW6ArGc5JGPJKk1cBAkxh4uWRj8WvL9WTKjPdU,9436.12,16,,589.76,3,16
7oD2TwMqLEbhYMGMfranedPX5ygbPy957R9eUGBBnJHY,49723.19,65,,764.97,5,65
4XMPyWFsYdNcCN4FG8geyytyTeUNacn4QundBzMqbGGT,24328.47,38,,640.22,5,38
3J7ZjmdcrwHMuW8osom4K19ybm1NL1mAP89DpC5MyEWC,26723.73,29,,921.51,3,29
3Aom5SThES1FwXELKYj9z8PiabyT2QP7gemJMWLQ1P4u,11802.04,13,,907.85,2,13
FiVBEPMJqN9YY87qB2tjAHQvurPmV2p6hwfZ2ZJe6agB,12363.16,21,,588.72,2,21
FcksW2AxCqtidkQmCaXGZVivH2CMAmn1PmzPE92Mw7Jh,21593.86,17,,1270.23,2,17
F5poq9Zvuk1wAuStzzb8GQMTFLVriVwdqC3jjRpj5sX6,18769.23,17,,1104.07,2,17
H8s4GoDcABkvykQSS7mUSHTSKUcxivoULUXgZDkjuoUf,18488.97,17,,1087.59,2,17
EATwK1pt1kJbsFeAhAqD52JVWGmNR1L7LMjKUk6mMwQH,5351.55,10,,535.15,2,10
F9oVacH8zfmLcpkArHz8ZFi5XoUYGMBumLi9ciLPmpUi,12533.53,13,,964.12,2,13
DGBvn9PTtii9bhNihxxyZUXfiVQXcVpD64kgXrtBhQMo,24693.27,39,,633.16,2,39
9Ht43PErfRgTUyNQWWN5PnCUd3Q4wYHPSCJENzKmDnU5,28087.19,41,,685.05,2,41
AcULspHXYRmoKkUhKN2WmFo4f8USUkmJtAE1LE2twJ2E,14496.2,25,,579.85,4,25
2h6WT2yEMhpdLQRRX5tm58bEt174sbNZq7tMqzVtm3PW,39064.6,59,,662.11,2,59
FMrLCzfeRZLiawdoj7PRiAyo3kwbYWJ7XWQXgxmeHr8w,45473.44,47,,967.52,5,47
2Ju1JhcvpaPDL8r7n7P1hdXM8n8sQGgKsybpUv4S8sEg,30608.64,40,,765.22,4,40
GWyDsd8YAd9P7ZQGNJoznouid6enrk54ncPFXUAS2JeG,14092.35,15,,939.49,2,15
B48fu9CQDxzTmXoL3Z7onX89fevNagC6tC5uT2nR7HgJ,31328.2,54,,580.15,2,54
E6qaVUPKpM1SiP58bJ7PFVvj6FAvHkPu5NcECCuitPQk,10317.83,14,,736.99,2,14
BDa8TQJWjDWhzABMWbRk7vaFa9BWzkj3DCjuP5UiMVGx,14017.99,22,,637.18,2,22
AD3XDgirYWTDrtztXDyjwzRvwyA5aG5bivaFXnjujXPf,11276.38,18,,626.47,2,18
7GUon9FL2w7bdreBVMpbaKbS5AjCuWHkWCZ51UpLRwYk,15602.51,26,,600.1,2,26
4DkPLqvk2m7C6Dkcs1RTuY2CExwyTE8Uwvt2JTKNKwkA,17179.34,26,,660.74,2,26
BJ4gzJ5Gyqemw7uGA8e6ruZ2mJijLT9PUB3LmfsRzkMu,18159.24,11,,1650.84,2,11
5GEqzNh89HXwor35xrChUEkb5sraVryQ2zVF7CWpXfva,29719.43,48,,619.15,2,48
8CqxW7wSsdyU8zetgP9C6Q3JoLntbpQK9Vpo8ugEuR5L,7450.1,12,,620.84,2,12
7g44HEZ3W1LwM542pj5SGDBMFsmPifGmJgKoy5FcyQpN,4667.7,8,,583.46,2,8
8WK2MZX7vwB6NZDgv6Tf94o8PWsEPq5KD5Zibxj2xedu,22323.39,33,,676.47,3,33
